sample_id,config,accurate,latency,cost,tree_cost,has_tree
multihop-279,A1,0.0,1.6393568515777588,0.0002148,0.0,0
multihop-280,A1,1.0,1.3689532279968262,0.00019692,0.0,0
multihop-281,A1,0.0,2.2288053035736084,0.00022019999999999999,0.0,0
multihop-282,A1,1.0,2.4912848472595215,0.0002214,0.0,0
multihop-283,A1,1.0,1.6997287273406982,0.00016572,0.0,0
multihop-284,A1,0.0,2.3193342685699463,0.00018924,0.0,0
multihop-285,A1,1.0,4.659077167510986,0.00017556,0.0,0
multihop-286,A1,1.0,6.689452171325684,0.00019062,0.0,0
multihop-287,A1,0.0,1.7663202285766602,0.00014112,0.0,0
multihop-288,A1,1.0,1.1853077411651611,0.00017418000000000002,0.0,0
multihop-289,A1,1.0,2.03210711479187,0.00019428000000000002,0.0,0
multihop-290,A1,1.0,2.117006778717041,0.00019548,0.0,0
